mode,depth,first_player,first_symbol,game_index,opening_move,winner,result,move_count,x_moves,o_moves,x_total_nodes,o_total_nodes,total_nodes,x_avg_nodes_per_move,o_avg_nodes_per_move,avg_nodes_per_move,x_total_time_s,o_total_time_s,total_search_time_s,x_avg_time_s,o_avg_time_s,avg_search_time_s,x_avg_evaluation,o_avg_evaluation,x_total_cutoffs,o_total_cutoffs,total_cutoffs,x_cache_hits,o_cache_hits,total_cache_hits,wall_time_s,max_candidates,max_moves
minimax,2,ai,O,4,"(4, 5)",O,ai_win,17,8,9,96,90,186,12.0,10.0,10.941176470588236,0.017580099869519472,0.017437700065784156,0.03501779993530363,0.002197512483689934,0.001937522229531573,0.002059870584429625,-1268682.25,1107431.0,0,0,0,0,0,0,0.03598919999785721,3,60
minimax,2,ai,O,5,"(5, 4)",O,ai_win,23,11,12,132,126,258,12.0,10.5,11.217391304347826,0.030053800088353455,0.030404600081965327,0.06045840017031878,0.0027321636443957686,0.0025337166734971106,0.0026286260943616862,-909692.5454545454,812581.5833333334,0,0,0,0,0,0,0.06203599995933473,3,60
minimax,2,ai,O,6,"(3, 3)",X,human_win,26,13,13,153,144,297,11.76923076923077,11.076923076923077,11.423076923076923,0.03997059992980212,0.03915590012911707,0.07912650005891919,0.0030746615330617014,0.00301199231762439,0.003043326925343046,723819.9230769231,-745322.9230769231,0,0,0,0,0,0,0.08123739995062351,3,60
minimax,2,ai,O,7,"(3, 5)",O,ai_win,17,8,9,96,90,186,12.0,10.0,10.941176470588236,0.0189142000162974,0.018985400209203362,0.03789960022550076,0.002364275002037175,0.0021094889121337067,0.0022293882485588685,-1306782.25,1117451.0,0,0,0,0,0,0,0.03890709998086095,3,60
minimax,2,ai,O,8,"(5, 3)",O,ai_win,31,15,16,180,174,354,12.0,10.875,11.419354838709678,0.0628547000233084,0.06154950009658933,0.12440420011989772,0.004190313334887227,0.003846843756036833,0.004013038713545088,-676481.2,609864.9375,0,0,0,0,0,0,0.12785819999407977,3,60
minimax,2,ai,O,9,"(5, 5)",O,ai_win,15,7,8,84,81,165,12.0,10.125,11.0,0.019768099999055266,0.01912269985768944,0.03889079985674471,0.0028240142855793238,0.00239033748221118,0.002592719990449647,-1459691.142857143,1274534.875,0,0,0,0,0,0,0.04007009998895228,3,60
minimax,2,ai,O,10,"(4, 2)",X,human_win,20,10,10,117,108,225,11.7,10.8,11.25,0.03717669995967299,0.034523299895226955,0.07169999985489994,0.003717669995967299,0.0034523299895226956,0.003584999992744997,939969.9,-959481.8,0,0,0,0,0,0,0.07362409995403141,3,60
minimax,2,human,X,1,"(4, 4)",X,human_win,13,7,6,69,72,141,9.857142857142858,12.0,10.846153846153847,0.01416689995676279,0.012325899791903794,0.026492799748666584,0.0020238428509661128,0.0020543166319839656,0.0020379076729743527,1432657.0,-1673376.3333333333,0,0,0,0,0,0,0.02722269995138049,3,60
minimax,2,human,X,2,"(4, 3)",X,human_win,31,16,15,177,180,357,11.0625,12.0,11.516129032258064,0.05763449997175485,0.05168579984456301,0.10932029981631786,0.003602156248234678,0.0034457199896375337,0.00352646128439735,654253.6875,-716419.8666666667,0,0,0,0,0,0,0.11226920003537089,3,60
minimax,2,human,X,3,"(3, 4)",X,human_win,31,16,15,177,180,357,11.0625,12.0,11.516129032258064,0.07112599967513233,0.06384199997410178,0.13496799964923412,0.004445374979695771,0.004256133331606785,0.0043538064402978745,654253.6875,-716419.8666666667,0,0,0,0,0,0,0.13844840007368475,3,60
minimax,2,human,X,4,"(4, 5)",X,human_win,17,9,8,90,96,186,10.0,12.0,10.941176470588236,0.02324619994033128,0.02283659973181784,0.04608279967214912,0.0025829111044812533,0.00285457496647723,0.002710752921891125,1107431.0,-1268682.25,0,0,0,0,0,0,0.04737149993889034,3,60
minimax,2,human,X,5,"(5, 4)",X,human_win,23,12,11,126,132,258,10.5,12.0,11.217391304347826,0.03822670003864914,0.03947379963938147,0.07770049967803061,0.003185558336554095,0.00358852723994377,0.003378282594696983,812581.5833333334,-909692.5454545454,0,0,0,0,0,0,0.07976190000772476,3,60
minimax,2,human,X,6,"(3, 3)",O,ai_win,26,13,13,144,153,297,11.076923076923077,11.76923076923077,11.423076923076923,0.04488820012193173,0.045105500030331314,0.08999370015226305,0.0034529384709178256,0.003469653848487024,0.003461296159702425,-745322.9230769231,723819.9230769231,0,0,0,0,0,0,0.09253300004638731,3,60
minimax,2,human,X,7,"(3, 5)",X,human_win,17,9,8,90,96,186,10.0,12.0,10.941176470588236,0.020841799792833626,0.021783499978482723,0.04262529977131635,0.0023157555325370696,0.0027229374973103404,0.0025073705747833148,1117451.0,-1306782.25,0,0,0,0,0,0,0.04378229996655136,3,60
minimax,2,human,X,8,"(5, 3)",X,human_win,31,16,15,174,180,354,10.875,12.0,11.419354838709678,0.057809899910353124,0.058993499958887696,0.11680339986924082,0.0036131187443970703,0.00393289999725918,0.0037678516086851878,609864.9375,-676481.2,0,0,0,0,0,0,0.11975369998253882,3,60
minimax,2,human,X,9,"(5, 5)",X,human_win,15,8,7,81,84,165,10.125,12.0,11.0,0.01818070001900196,0.018862100085243583,0.037042800104245543,0.002272587502375245,0.002694585726463369,0.0024695200069497028,1274534.875,-1459691.142857143,0,0,0,0,0,0,0.03800899989437312,3,60
minimax,2,human,X,10,"(4, 2)",O,ai_win,20,10,10,108,117,225,10.8,11.7,11.25,0.02634139999281615,0.02810660016257316,0.05444800015538931,0.002634139999281615,0.002810660016257316,0.0027224000077694654,-959481.8,939969.9,0,0,0,0,0,0,0.05584450007881969,3,60
minimax,3,ai,O,1,"(4, 4)",O,ai_win,13,6,7,225,222,447,37.5,31.714285714285715,34.38461538461539,0.0423673999030143,0.03999030019622296,0.08235770009923726,0.007061233317169051,0.005712900028031852,0.006335207699941328,-1698173.0,2896510.8571428573,0,0,0,0,0,0,0.0831072999862954,3,60
minimax,3,ai,O,2,"(4, 3)",X,human_win,20,10,10,378,333,711,37.8,33.3,35.55,0.08633809990715235,0.08230899996124208,0.16864709986839443,0.008633809990715235,0.008230899996124207,0.008432354993419721,2023527.6,-1002897.8,0,0,0,0,0,0,0.17020789999514818,3,60
minimax,3,ai,O,3,"(3, 4)",O,ai_win,13,6,7,222,210,432,37.0,30.0,33.23076923076923,0.03631860006134957,0.038356399978511035,0.0746750000398606,0.006053100010224928,0.005479485711215862,0.00574423077229697,-1708086.3333333333,2906202.285714286,0,0,0,0,0,0,0.0753454000223428,3,60
minimax,3,ai,O,4,"(4, 5)",O,ai_win,15,7,8,252,249,501,36.0,31.125,33.4,0.056334500084631145,0.05672070011496544,0.11305520019959658,0.008047785726375878,0.00709008751437068,0.007537013346639772,-1437588.2857142857,2530647.0,0,0,0,0,0,0,0.1144587000599131,3,60
minimax,3,ai,O,5,"(5, 4)",O,ai_win,15,7,8,264,261,525,37.714285714285715,32.625,35.0,0.06376640021335334,0.05717490008100867,0.12094130029436201,0.009109485744764763,0.007146862510126084,0.008062753352957468,-1443691.142857143,2527197.0,0,0,0,0,0,0,0.12211890006437898,3,60
minimax,3,ai,O,6,"(3, 3)",O,ai_win,17,8,9,297,279,576,37.125,31.0,33.88235294117647,0.06608870008494705,0.06131409993395209,0.12740280001889914,0.008261087510618381,0.006812677770439122,0.007494282354052891,-1258437.25,2257548.4444444445,0,0,0,0,0,0,0.12860229995567352,3,60
minimax,3,ai,O,7,"(3, 5)",X,human_win,28,14,14,528,480,1008,37.714285714285715,34.285714285714285,36.0,0.1393236998701468,0.13586749997921288,0.2751911998493597,0.00995169284786763,0.009704821427086634,0.009828257137477132,1456796.857142857,-714719.8571428572,0,0,0,0,0,0,0.2776801000582054,3,60
minimax,3,ai,O,8,"(5, 3)",X,human_win,14,7,7,249,222,471,35.57142857142857,31.714285714285715,33.642857142857146,0.050959000014699996,0.05028349987696856,0.10124249989166856,0.0072798571449571425,0.007183357125281223,0.0072316071351191825,2869319.4285714286,-1406276.857142857,0,0,0,0,0,0,0.10211719991639256,3,60
minimax,3,ai,O,9,"(5, 5)",O,ai_win,15,7,8,264,255,519,37.714285714285715,31.875,34.6,0.04985759989358485,0.050011999905109406,0.09986959979869425,0.007122514270512121,0.006251499988138676,0.0066579733199129505,-1446622.5714285714,2530642.0,0,0,0,0,0,0,0.100761599955149,3,60
minimax,3,ai,O,10,"(4, 2)",O,ai_win,17,8,9,297,285,582,37.125,31.666666666666668,34.23529411764706,0.06672080000862479,0.06185519997961819,0.12857599998824298,0.008340100001078099,0.006872799997735355,0.0075632941169554695,-1279609.75,2275226.222222222,0,0,0,0,0,0,0.1298696999438107,3,60
minimax,3,human,X,1,"(4, 4)",X,human_win,13,7,6,222,225,447,31.714285714285715,37.5,34.38461538461539,0.11022959998808801,0.07028650003485382,0.18051610002294183,0.015747085712584003,0.011714416672475636,0.013885853847918602,2896510.8571428573,-1698173.0,0,0,0,0,0,0,0.18201470002532005,3,60
minimax,3,human,X,2,"(4, 3)",O,ai_win,20,10,10,333,378,711,33.3,37.8,35.55,0.13382270012516528,0.1355965998955071,0.2694193000206724,0.013382270012516528,0.01355965998955071,0.013470965001033619,-1002897.8,2023527.6,0,0,0,0,0,0,0.2718080999329686,3,60
minimax,3,human,X,3,"(3, 4)",X,human_win,13,7,6,210,222,432,30.0,37.0,33.23076923076923,0.042135699768550694,0.04254309996031225,0.08467879972886294,0.0060193856812215275,0.0070905166600520415,0.006513753825297149,2906202.285714286,-1708086.3333333333,0,0,0,0,0,0,0.08541860000696033,3,60
minimax,3,human,X,4,"(4, 5)",X,human_win,15,8,7,249,252,501,31.125,36.0,33.4,0.04955280001740903,0.04788649990223348,0.09743929991964251,0.006194100002176128,0.006840928557461926,0.0064959533279761675,2530647.0,-1437588.2857142857,0,0,0,0,0,0,0.09831430006306618,3,60
minimax,3,human,X,5,"(5, 4)",X,human_win,15,8,7,261,264,525,32.625,37.714285714285715,35.0,0.053978299954906106,0.052944399998523295,0.1069226999534294,0.006747287494363263,0.007563485714074757,0.007128179996895293,2527197.0,-1443691.142857143,0,0,0,0,0,0,0.10783659992739558,3,60
minimax,3,human,X,6,"(3, 3)",X,human_win,17,9,8,279,297,576,31.0,37.125,33.88235294117647,0.05410850024782121,0.060150799923576415,0.11425930017139763,0.006012055583091246,0.007518849990447052,0.00672113530419986,2257548.4444444445,-1258437.25,0,0,0,0,0,0,0.11541069997474551,3,60
minimax,3,human,X,7,"(3, 5)",O,ai_win,28,14,14,480,528,1008,34.285714285714285,37.714285714285715,36.0,0.14514129993040115,0.15328469988889992,0.29842599981930107,0.010367235709314368,0.010948907134921424,0.010658071422117896,-714719.8571428572,1456796.857142857,0,0,0,0,0,0,0.3012140999780968,3,60
minimax,3,human,X,8,"(5, 3)",O,ai_win,14,7,7,222,249,471,31.714285714285715,35.57142857142857,33.642857142857146,0.05241740006022155,0.0552093000151217,0.10762670007534325,0.007488200008603079,0.0078870428593031,0.007687621433953089,-1406276.857142857,2869319.4285714286,0,0,0,0,0,0,0.10865159996319562,3,60
minimax,3,human,X,9,"(5, 5)",X,human_win,15,8,7,255,264,519,31.875,37.714285714285715,34.6,0.05328130011912435,0.05261909996625036,0.10590040008537471,0.006660162514890544,0.007517014280892909,0.0070600266723583145,2530642.0,-1446622.5714285714,0,0,0,0,0,0,0.10680119995959103,3,60
minimax,3,human,X,10,"(4, 2)",X,human_win,17,9,8,285,297,582,31.666666666666668,37.125,34.23529411764706,0.05408299993723631,0.05717949999962002,0.11126249993685633,0.006009222215248479,0.0071474374999525025,0.006544852937462137,2275226.222222222,-1279609.75,0,0,0,0,0,0,0.11225699994247407,3,60
minimax,4,ai,O,1,"(4, 4)",O,ai_win,15,7,8,756,699,1455,108.0,87.375,97.0,0.13677749992348254,0.14120580011513084,0.2779833000386134,0.01953964284621179,0.017650725014391355,0.018532220002574224,-2930162.0,2542382.0,0,0,0,0,0,0,0.27900570002384484,3,60
minimax,4,ai,O,2,"(4, 3)",O,ai_win,17,8,9,900,825,1725,112.5,91.66666666666667,101.47058823529412,0.17043910024221987,0.18113849987275898,0.35157760011497885,0.021304887530277483,0.02012649998586211,0.02068103530088111,-2540289.25,2238377.3333333335,0,0,0,0,0,0,0.3526823000283912,3,60
